"","title","year","length","budget","rating","votes","mpaa","genre"
"5240","Best of the Martial Arts Films, The",1990,90,NA,6.9,109,"","Action"
"5256","Betrayal",2003,90,750000,4.7,157,"","Action"
"5257","Betrayal from the East",1945,82,NA,5.2,34,"","Action"
"5260","Betrayed",1988,126,NA,6,990,"","Action"
"5274","Better Than Ever",1997,85,NA,5.2,5,"","Action"
"5277","Better Way to Die, A",2000,97,NA,5.6,458,"R","Action"
"5335","Beverly Hills Cop",1984,105,15000000,7.1,16360,"","Action"
"5336","Beverly Hills Cop II",1987,100,20000000,5.8,10446,"","Action"
"5337","Beverly Hills Cop III",1994,104,50000000,4.7,6519,"","Action"
"5340","Beverly Hills Ninja",1997,88,NA,4.7,3468,"PG-13","Action"
"5361","Beyond Desire",1996,87,NA,4.6,92,"R","Action"
"5364","Beyond Fear",1993,84,NA,5.5,13,"","Action"
"5368","Beyond Justice",1992,113,NA,4.2,76,"","Action"
"5369","Beyond Mombasa",1956,90,NA,5.2,20,"","Action"
"5385","Beyond the Call of Duty",1992,85,NA,4.3,31,"","Action"
"5398","Beyond the Poseidon Adventure",1979,114,NA,4.4,956,"","Action"
"5427","Bi xie lan tian",1998,96,NA,5.5,136,"R","Action"
"5448","Bicheongwon",1980,82,NA,5.1,9,"","Action"
"5450","Bichhoo",2000,160,NA,5.4,27,"","Action"
"5472","Big Bad John",1990,92,NA,5.1,31,"","Action"
"5474","Big Bad Mama",1974,83,NA,5.3,308,"","Action"
"5475","Big Bad Mama II",1987,83,NA,3.9,159,"","Action"
"5482","Big Bird Cage, The",1972,96,NA,4.7,140,"","Action"
"5492","Big Brawl, The",1980,95,NA,5.2,591,"","Action"
"5499","Big Bus, The",1976,88,NA,5.1,636,"","Action"
"5525","Big Doll House, The",1971,95,125000,4.6,194,"","Action"
"5527","Big Easy, The",1987,108,NA,6.6,2956,"","Action"
"5540","Big Gamble, The",1961,100,NA,5,25,"","Action"
"5552","Big Hit, The",1998,91,13000000,5.7,6206,"R","Action"
"5560","Big Jake",1971,110,NA,6.6,1139,"PG-13","Action"
"5561","Big Jim McLain",1952,90,826000,4.3,266,"","Action"
"5575","Big Mouth, The",1967,107,NA,5.4,133,"","Action"
"5591","Big Rascal",1979,93,NA,6.5,6,"","Action"
"5593","Big Red One, The",1980,158,NA,7.1,1838,"R","Action"
"5637","Big Trees, The",1952,89,NA,5.7,165,"","Action"
"5640","Big Trouble in Little China",1986,99,25000000,6.7,10803,"","Action"
"5643","Big Wheel, The",1949,92,NA,5.5,63,"","Action"
"5669","Biker Boyz",2003,110,NA,4,1580,"PG-13","Action"
"5701","Billabong Odyssey",2003,87,NA,5.8,81,"PG","Action"
"5720","Billy Jack",1971,114,800000,5.5,994,"","Action"
"5755","Bin lim mai ching",2002,87,NA,7.2,14,"","Action"
"5773","Bio-Tech Warrior",1996,81,NA,7.4,9,"","Action"
"5793","Bird on a Wire",1990,110,NA,5.3,5090,"","Action"
"5811","Birth Control",2004,30,NA,8.2,12,"","Action"
"5884","Black Alley Cats",1974,81,NA,5.4,8,"","Action"
"5892","Black Belt Jones",1974,87,NA,5.5,299,"","Action"
"5910","Black Dawn",1997,102,NA,3.8,55,"","Action"
"5916","Black Dog",1998,89,NA,4.7,1374,"PG-13","Action"
"5920","Black Eagle",1988,93,NA,3.2,616,"","Action"
"5922","Black Fist",1975,87,NA,4.9,49,"","Action"
"5924","Black Force",1975,82,NA,4.4,9,"","Action"
"5927","Black Friday",2000,95,NA,3.2,59,"R","Action"
"5932","Black Godfather, The",1974,90,NA,3.2,53,"","Action"
"5935","Black Gulch",2003,15,55000,6,20,"","Action"
"5936","Black Gunn",1972,96,NA,4.5,33,"","Action"
"5940","Black Hawk Down",2001,142,90000000,7.6,32530,"R","Action"
"5941","Black Heat",1976,94,NA,1.5,19,"","Action"
"5962","Black Lolita",1975,85,NA,5.4,11,"","Action"
"5975","Black Moon Rising",1986,100,NA,5.1,571,"","Action"
"5978","Black Oak Conspiracy",1977,92,NA,5.4,14,"","Action"
"5981","Black Out",1996,98,NA,4.5,70,"R","Action"
"5987","Black Pirate, The",1926,94,NA,7.5,187,"","Action"
"5989","Black Point",2001,100,NA,5.1,127,"R","Action"
"5991","Black Rain",1989,125,14000000,6.3,5636,"","Action"
"5998","Black Rose of Harlem",1996,87,NA,3.8,23,"R","Action"
"6002","Black Samson",1974,98,NA,5.2,38,"","Action"
"6003","Black Samurai",1977,88,NA,3,83,"","Action"
"6004","Black Scorpion II: Aftershock",1997,85,NA,3.3,164,"R","Action"
"6006","Black Sea Raid",1997,82,NA,2.2,23,"","Action"
"6007","Black Shampoo",1976,82,NA,4,61,"","Action"
"6016","Black Six, The",1974,94,NA,3.2,57,"","Action"
"6019","Black Snow",1989,96,NA,2.8,10,"","Action"
"6024","Black Sunday",1977,143,NA,6.6,1069,"","Action"
"6029","Black Thunder",1997,85,NA,3.5,96,"R","Action"
"6056","Blackbelt II",1993,83,NA,2.9,10,"","Action"
"6063","Blackhawk: Fearless Champion of Freedom",1952,242,NA,7.4,22,"","Action"
"6070","Blackout",1978,92,NA,5,33,"","Action"
"6081","Blackwater Trail",1996,97,NA,4.7,36,"R","Action"
"6086","Blade",1998,110,45000000,6.8,24372,"R","Action"
"6087","Blade II",2002,108,55000000,6.6,17139,"R","Action"
"6088","Blade Runner",1982,117,28000000,8.2,74749,"","Action"
"6090","Blade: Trinity",2004,124,65000000,5.7,7439,"R","Action"
"6116","Blankman",1994,92,NA,4.2,1133,"","Action"
"6117","Blast",1996,105,NA,4.4,156,"R","Action"
"6123","Blastfighter",1984,87,NA,4.8,51,"","Action"
"6135","Blaze of Noon",1947,90,NA,5.6,34,"","Action"
"6139","Blazing Ninja, The",1973,77,NA,5.8,11,"","Action"
"6169","Bleu comme l'enfer",1986,95,NA,5,40,"","Action"
"6185","Blind Fury",1989,86,NA,5.6,1472,"","Action"
"6190","Blind Justice",1994,85,NA,5.1,155,"","Action"
"6193","Blind Rage",1978,80,NA,3.3,34,"","Action"
"6196","Blind Target",2000,90,NA,4,26,"","Action"
"6198","Blind Vengeance",1994,83,NA,1.9,8,"","Action"
"6205","Blindside",1986,98,NA,4.8,50,"","Action"
"6209","Blinkende lygter",2000,109,NA,7.3,1998,"","Action"
"6211","Blinker en het Bagbag-juweel",2000,92,NA,6.6,20,"","Action"
"6250","Blonde Fist",1991,102,NA,3.1,21,"","Action"
"6257","Blonde Savage",1947,62,NA,5.1,6,"","Action"
"6292","Blood",1998,90,NA,7.6,5,"","Action"
"6300","Blood Beach",1981,92,NA,3.2,268,"","Action"
"6312","Blood Fingers",1972,74,NA,7,7,"","Action"
"6315","Blood Games",1990,90,NA,3.6,37,"","Action"
"6336","Blood Shot",2002,28,35000,4.5,22,"","Action"
"6349","Blood Warriors",1993,95,NA,4,16,"","Action"
"6366","Blood of Heroes, The",1989,104,NA,5.9,872,"","Action"
"6370","Blood of the Dragon Peril",1980,83,NA,6.3,17,"","Action"
"6372","Blood of the Innocent",1994,95,NA,4.1,78,"R","Action"
"6373","Blood of the Samurai",2001,75,2000,6.5,18,"","Action"
"6377","Blood on the Sun",1945,94,NA,6.2,242,"","Action"
"6378","Blood, Bullets, Buffoons",1996,90,NA,3,13,"","Action"
"6379","Blood, Guts, Bullets and Octane",1998,87,7300,5.3,285,"R","Action"
"6380","Blood: The Last Vampire",2000,48,NA,6.7,1456,"","Action"
"6386","Bloodfight",1989,100,NA,2.7,43,"","Action"
"6387","Bloodfist",1989,85,NA,2.8,80,"","Action"
"6388","Bloodfist II",1990,85,NA,2.8,45,"","Action"
"6389","Bloodfist III: Forced to Fight",1992,88,NA,3,55,"","Action"
"6390","Bloodfist IV: Die Trying",1992,86,NA,3.6,59,"","Action"
"6391","Bloodfist VI: Ground Zero",1994,86,NA,2.5,54,"","Action"
"6392","Bloodfist VII: Manhunt",1995,95,NA,2.6,47,"","Action"
"6399","Bloodlock",1998,26,NA,6.2,18,"","Action"
"6400","Bloodlust",1992,85,NA,2.7,49,"","Action"
"6403","Bloodmatch",1991,86,NA,2.6,30,"","Action"
"6405","Bloodmoon",1997,102,NA,4.1,86,"R","Action"
"6409","Bloodsport",1988,92,NA,5.8,5221,"","Action"
"6410","Bloodsport 2",1996,71,NA,4.3,274,"R","Action"
"6411","Bloodsport 3",1996,91,NA,2.9,132,"","Action"
"6413","Bloodstone",1988,91,NA,3.8,46,"","Action"
"6426","Bloody Mallory",2002,94,NA,4.1,167,"R","Action"
"6454","Blowing Wild",1953,90,1000000,5.6,67,"","Action"
"6455","Blown Away",1992,93,NA,5.1,1340,"","Action"
"6456","Blown Away",1994,121,NA,5.8,4330,"","Action"
"6490","Blue Eagle, The",1926,58,NA,4.8,32,"","Action"
"6502","Blue Ice",1992,105,NA,4.9,319,"","Action"
"6503","Blue Iguana, The",1988,90,NA,3.9,130,"","Action"
"6509","Blue Lamp, The",1950,84,NA,6.6,150,"","Action"
"6510","Blue Max, The",1966,153,NA,6.6,778,"","Action"
"6513","Blue Moon",1998,90,1000,6.8,23,"","Action"
"6531","Blue Steel",1990,102,NA,5.2,1894,"","Action"
"6532","Blue Streak",1999,93,36000000,5.8,7952,"","Action"
"6534","Blue Thunder",1983,108,NA,5.9,2305,"","Action"
"6535","Blue Tiger",1994,88,NA,4.8,118,"","Action"
"6538","Blue Vengeance",1992,90,NA,5.3,8,"","Action"
"6550","Blueberry",2004,124,NA,5.2,1256,"R","Action"
"6557","Blues Brothers, The",1980,148,27000000,7.7,28964,"","Action"
"6570","Blutiger Freitag",1972,97,NA,6,39,"","Action"
"6575","Bo ming chan dao duo ming chuang",1979,90,NA,7.9,36,"","Action"
"6615","Boca del lobo, La",1988,128,NA,7.2,66,"","Action"
"6656","Body Wars",1989,5,NA,6.2,92,"","Action"
"6671","Bodyguard, The",2004,105,NA,7.3,7,"","Action"
"6700","Bokser",1967,93,NA,5.9,5,"","Action"
"6703","Boksuneun naui geot",2002,121,NA,7.6,1325,"R","Action"
"6738","Bomba, A",2001,90,NA,6.2,84,"","Action"
"6743","Bombay 405 Miles",1980,164,NA,7.3,19,"","Action"
"6750","Bomber",1982,101,NA,5.3,185,"","Action"
"6810","Bonnie's Kids",1973,84,NA,5.6,18,"","Action"
"6828","Booby Trap",1970,90,NA,3.1,7,"","Action"
"6872","Boondock Saints, The",1999,110,NA,7.7,17935,"R","Action"
"6894","Bor lei jun",1999,99,NA,5.3,1421,"PG-13","Action"
"6912","Border Patrol",1943,65,NA,6.1,23,"","Action"
"6919","Border Vigilantes",1941,63,NA,6.9,14,"","Action"
"6921","Border, The",1979,90,NA,5.5,31,"","Action"
"6929","Bore Lee: U kandzama velegrada",2003,58,NA,6.9,59,"","Action"
"6944","Boris and Natasha",1992,87,NA,3.6,203,"","Action"
"6947","Born American",1986,95,NA,4.5,212,"","Action"
"6955","Born Losers, The",1967,113,360000,5.4,223,"","Action"
"6975","Born to Kill",1996,110,NA,3.7,28,"","Action"
"6979","Born to Race",1988,98,NA,2.9,16,"","Action"
"6986","Borrowed Trouble",1948,58,NA,6,18,"","Action"
"6990","Borsalino & Co.",1974,110,NA,5.2,209,"","Action"
"6998","Boss Nigger",1975,87,NA,4.6,48,"","Action"
"7038","Boudica",2003,83,NA,5.7,138,"","Action"
"7042","Boulder Dam",1936,70,NA,6.1,14,"","Action"
"7045","Boulet, Le",2002,107,NA,5.6,651,"","Action"
"7064","Bound by Honor",1993,190,35000000,7.4,2499,"","Action"
"7069","Bounty",2002,17,NA,8,6,"","Action"
"7072","Bounty Hunters",1997,98,NA,4.9,76,"R","Action"
"7074","Bounty Tracker",1993,86,NA,4.3,84,"","Action"
"7079","Bourne Identity, The",2002,119,75000000,7.3,29871,"PG-13","Action"
"7080","Bourne Supremacy, The",2004,108,75000000,7.3,19878,"PG-13","Action"
"7156","Boy s tenyu",2005,132,3500000,4.8,77,"","Action"
"7183","Boys On the Run",2001,97,NA,5.3,36,"R","Action"
"7216","Braddock: Missing in Action III",1988,101,NA,3.4,582,"","Action"
"7250","Brannigan",1975,111,NA,5.7,582,"","Action"
"7268","Brat 2",2000,122,1500000,6.7,528,"","Action"
"7288","Braveheart",1995,177,53000000,8.3,92437,"R","Action"
"7307","Breakaway",1996,95,NA,4,38,"R","Action"
"7308","Breakdown",1997,95,36000000,6.7,7099,"R","Action"
"7310","Breaker! Breaker!",1977,86,NA,3.2,257,"","Action"
"7319","Breakheart Pass",1975,95,NA,6.2,547,"","Action"
"7328","Breaking Loose",1988,87,NA,2.8,12,"","Action"
"7340","Breakout",1975,96,NA,5.7,349,"","Action"
"7349","Breathing Fire",1991,74,NA,3.7,59,"","Action"
"7356","Breathless",1983,97,NA,5.3,1424,"","Action"
"7358","Breed Apart, A",1984,95,NA,4.8,220,"","Action"
"7359","Breed, The",2001,91,4000000,4.7,582,"R","Action"
"7422","Bridge Too Far, A",1977,176,26000000,7,5527,"","Action"
"7424","Bridge at Remagen, The",1969,115,NA,6.5,631,"","Action"
"7425","Bridge of Dragons",1999,95,4000000,3.7,373,"R","Action"
"7446","Brigada explosiva",1986,85,NA,3.2,30,"","Action"
"7447","Brigada explosiva contra los ninjas",1986,70,NA,3,17,"","Action"
"7455","Brigante di Tacca del Lupo, Il",1952,82,NA,7.2,5,"","Action"
"7503","Broadcast 23",2005,7,2500,5.7,18,"","Action"
"7539","Broken Allegiance",2002,23,NA,5.8,30,"","Action"
"7541","Broken Arrow",1996,108,65000000,5.7,14415,"R","Action"
"7575","Bronson Lee, Champion",1978,81,NA,6.8,5,"","Action"
"7581","Bronx War, The",1990,91,NA,4.3,23,"","Action"
"7588","Brooklyn Sonnet",2000,95,NA,5.9,25,"R","Action"
"7589","Brooklyn State of Mind, A",1997,89,NA,5.7,66,"","Action"
"7614","Brotherhood of Death",1976,90,NA,4.6,21,"","Action"
"7634","Brown on Resolution",1935,70,NA,7.4,18,"","Action"
"7642","Bruce Le's Greatest Revenge",1978,94,NA,7.8,10,"","Action"
"7644","Bruce Lee Fights Back from the Grave",1976,84,NA,2.4,52,"","Action"
"7645","Bruce Lee and Kung Fu Mania",1992,85,NA,6.3,15,"","Action"
"7646","Bruce Lee's Ways of Kung Fu",1982,87,NA,6.5,5,"","Action"
"7648","Bruce the Super Hero",1979,88,NA,6.3,9,"","Action"
"7649","Bruce's Fingers",1980,91,NA,5.4,15,"","Action"
"7650","Bruce's Fists of Vengeance",1984,87,NA,2.2,6,"","Action"
"7688","Bu ze shou duan",1978,81,NA,3.9,12,"","Action"
"7703","Buccaneer's Girl",1950,77,NA,5.2,18,"","Action"
"7718","Buck and the Magic Bracelet",1999,99,NA,2,8,"PG-13","Action"
"7750","Buena Sorte",1996,104,NA,5.3,12,"","Action"
"7772","Buffy the Vampire Slayer",1992,86,NA,5.4,6825,"","Action"
"7777","Bug Buster",1998,93,8500000,2.9,268,"PG-13","Action"
"7799","Bui bun si mun",1980,92,NA,7.1,17,"","Action"
"7827","Bullet",1996,98,NA,5,672,"","Action"
"7834","Bullet for Pretty Boy, A",1970,89,350000,3.5,31,"","Action"
"7840","Bulletproof",1988,93,5000000,3.8,155,"","Action"
"7841","Bulletproof",1996,84,NA,5.4,3613,"R","Action"
"7842","Bulletproof Monk",2003,104,52000000,5.2,5405,"PG-13","Action"
"7849","Bullies",1986,90,NA,4.5,80,"","Action"
"7850","Bullitt",1968,113,5500000,7.3,6191,"","Action"
"7897","Buono, il brutto, il cattivo, Il",1966,180,1200000,8.8,30224,"","Action"
"7915","Burisuta",2000,108,NA,6.2,10,"","Action"
"7938","Burning Rubber",1981,85,NA,2.9,10,"","Action"
"7942","Burning Train, The",1980,142,NA,4.4,17,"","Action"
"7954","Bury Me an Angel",1972,84,NA,4.9,30,"","Action"
"7974","Bushido Blade, The",1981,104,NA,5.4,60,"","Action"
"8019","Butter",1998,101,NA,2.9,83,"R","Action"
"8079","C'era una volta la legge",1979,98,NA,4.2,6,"","Action"
"8099","C.I.D.",1956,146,NA,6.4,15,"","Action"
"8104","CIA Code Name: Alexa",1993,93,NA,3.9,101,"","Action"
"8105","CIA II: Target Alexa",1994,90,NA,3.6,80,"","Action"
"8120","Cabeza de Vaca",1991,111,NA,7,204,"","Action"
"8134","Caboblanco",1980,87,NA,4.6,102,"","Action"
"8140","Caccia allo scorpione d'oro",1991,100,NA,4.9,5,"","Action"
"8141","Caccia tragica",1947,80,NA,6.6,14,"","Action"
"8170","Cadena perpetua",1979,95,NA,7.5,14,"","Action"
"8190","Cage II",1994,106,NA,3.1,50,"","Action"
"8200","Caged - Le prede umane",1992,87,NA,5.2,29,"","Action"
"8201","Caged Fear",1992,100,NA,4.3,50,"","Action"
"8203","Caged Fury",1989,86,NA,3.1,66,"","Action"
"8205","Caged Heat",1974,83,180000,4.9,295,"","Action"
"8206","Caged Heat 3000",1995,85,NA,2.9,73,"","Action"
"8207","Caged Heat II: Stripped of Freedom",1994,72,NA,2.6,72,"","Action"
"8213","Cai shu zhi huang sao qian jun",1991,47,NA,4.3,14,"","Action"
"8217","Cain's Cutthroats",1971,87,NA,4.3,15,"","Action"
"8225","Caja 507, La",2002,112,NA,7.1,293,"","Action"
"8263","California Straight Ahead!",1937,67,NA,4,23,"","Action"
"8270","Caligula et Messaline",1982,111,NA,2.1,44,"","Action"
"8291","Call of the Wild, The",1908,16,NA,3.3,5,"","Action"
"8292","Call of the Wild, The",1935,81,NA,6.6,150,"","Action"
"8366","Camino largo a Tijuana",1991,92,NA,6.3,17,"","Action"
"8384","Camp X-Ray: Ghosts of Guantanamo",2004,125,NA,5.5,8,"","Action"
"8432","Canadian Mounties vs. Atomic Invaders",1953,167,NA,5.3,13,"","Action"
"8461","Candy Tangerine Man",1975,95,NA,5,25,"","Action"
"8466","Cane arrabbiato",1985,91,NA,5.7,15,"","Action"
"8469","Cangaceiro, O",1953,105,NA,7.8,62,"","Action"
"8470","Cangaceiro, O",1997,120,NA,7.2,27,"","Action"
"8475","Canicule",1984,101,NA,5.3,94,"","Action"
"8490","Cannibal Women in the Avocado Jungle of Death",1989,90,NA,4.1,538,"","Action"
"8495","Cannonball",1976,90,NA,4.9,619,"","Action"
"8496","Cannonball Run II",1984,96,NA,3.9,2619,"","Action"
"8497","Cannonball Run, The",1981,95,NA,5.4,5110,"","Action"
"8501","Canon City",1948,82,NA,7,44,"","Action"
"8523","Caper of the Golden Bulls, The",1967,102,NA,4,17,"","Action"
"8530","Capitaine Fracasse, Le",1961,108,NA,6.4,39,"","Action"
"8554","Captain America",1944,244,NA,5.5,48,"","Action"
"8555","Captain America",1991,97,NA,2.8,1395,"","Action"
"8558","Captain Blood",1935,99,1200000,7.7,1683,"","Action"
"8561","Captain Caution",1940,84,NA,5.8,17,"","Action"
"8566","Captain Fury",1939,91,NA,5.7,11,"","Action"
"8569","Captain Horatio Hornblower R.N.",1951,117,NA,7.4,827,"","Action"
"8576","Captain Kidd",1945,90,NA,6.4,133,"","Action"
"8577","Captain Kidd and the Slave Girl",1954,82,NA,5.5,5,"","Action"
"8590","Captain Sindbad",1963,85,NA,4.2,115,"","Action"
"8594","Captain Valedor versus the Spider Queen",2004,4,NA,8.5,10,"","Action"
"8616","Captured",2000,95,NA,2.7,201,"R","Action"
"8623","Car 99",1935,67,NA,7.6,10,"","Action"
"8711","Carman: The Champion",2001,82,NA,4.6,412,"PG-13","Action"
"8738","Carnaval des barbouzes, Le",1966,94,NA,5.4,21,"","Action"
"8761","Carnival of Wolves",1996,103,NA,3.9,13,"","Action"
"8766","Carnosaur 2",1995,83,NA,3.2,237,"","Action"
"8767","Carnosaur 3: Primal Species",1996,85,NA,2.7,202,"","Action"
"8834","Cartagine in fiamme",1960,105,NA,4.7,18,"","Action"
"8840","Cartel",1990,106,NA,2.8,36,"","Action"
"8848","Cartouche",1962,114,NA,6.8,274,"","Action"
"8885","Casablanca Express",1988,85,NA,3.2,71,"","Action"
"8904","Cascadeur",1998,106,NA,4.3,121,"","Action"
"8935","Casino Royale",1967,131,12000000,5.3,4173,"","Action"
"8950","Cassandra Crossing, The",1976,129,NA,5.9,1014,"","Action"
"8951","Casse, Le",1971,120,NA,5.9,144,"","Action"
"8953","Casshern",2004,141,5000000,6.5,1237,"","Action"
"8976","Castlerock",2000,81,NA,4.1,30,"","Action"
"8989","Cat Chaser",1989,98,NA,5.1,204,"","Action"
"9032","Catch Me If You Can",1989,106,800000,5.1,93,"","Action"
"9035","Catch That Kid",2004,91,18000000,4.5,598,"PG","Action"
"9038","Catch the Heat",1987,88,NA,5.8,16,"","Action"
"9041","Catchfire",1990,95,NA,5.3,612,"","Action"
"9056","Catman in Boxer's Blow",1993,90,NA,6,23,"","Action"
"9057","Catman in Lethal Track",1990,90,NA,4.7,28,"","Action"
"9082","Catwoman",2004,104,85000000,3.4,8815,"PG-13","Action"
"9119","Cavaliere dei cento volti, Il",1960,75,NA,6.1,9,"","Action"
"9121","Cavaliere misterioso, Il",1948,90,NA,6.1,11,"","Action"
"9124","Cavaliers de l'orage, Les",1984,100,NA,5,8,"","Action"
"9132","Caveman",1981,91,NA,5.3,1186,"","Action"
"9139","Cazadores, Los",1974,104,NA,5.1,83,"","Action"
"9140","Ce ma ru lin",1984,115,NA,8.5,7,"","Action"
"9168","Cellular",2004,94,25000000,6.4,6182,"PG-13","Action"
"9180","Cemetery High",1989,80,NA,2.7,50,"","Action"
"9192","Cent mille dollars au soleil",1964,122,NA,7.2,122,"","Action"
"9195","Center of the Web",1992,91,NA,4.5,37,"","Action"
"9202","Centipede!",2004,90,500000,3.6,35,"","Action"
"9228","Certain Fury",1985,87,NA,3.5,63,"","Action"
"9242","Cesta peklem",1995,85,NA,2.6,11,"","Action"
"9246","Cetverored",1999,123,NA,3.8,83,"","Action"
"9254","Cha shou",1981,92,NA,6,22,"","Action"
"9269","Chain Gang Women",1971,85,NA,3.4,18,"","Action"
"9272","Chain Lightning",1950,90,NA,5.4,126,"","Action"
"9273","Chain Reaction",1996,106,55000000,5.1,5936,"PG-13","Action"
"9274","Chain Reaction, The",1980,92,NA,4.9,82,"","Action"
"9275","Chain of Command",1994,98,NA,4.2,69,"","Action"
"9276","Chain of Command",2000,96,NA,4.6,299,"R","Action"
"9293","Chairman, The",1969,93,NA,5.2,143,"","Action"
"9302","Challenge of the Ninja",1986,86,NA,3.1,14,"","Action"
"9307","Challenge, The",1982,113,NA,5.4,323,"","Action"
"9323","Champ Against Champ",1983,88,NA,7.1,10,"","Action"
"9346","Chan sam ying hung",1998,86,NA,7.2,151,"","Action"
"9383","Chanoc y el hijo del Santo contra los vampiros asesinos",1981,85,NA,9.3,7,"","Action"
"9388","Chao ji ji hua",1993,104,NA,5.8,554,"R","Action"
"9389","Chaos Factor, The",2000,95,NA,4.5,109,"R","Action"
"9409","Charcoal Black",1972,91,NA,5.6,13,"","Action"
"9411","Charge of the Lancers",1954,73,NA,4.7,17,"","Action"
"9412","Charge of the Light Brigade, The",1936,115,1200000,7.2,547,"","Action"
"9474","Charlie's Angels",2000,94,92000000,5.8,25705,"PG-13","Action"
"9475","Charlie's Angels: Full Throttle",2003,107,120000000,5,13990,"PG-13","Action"
"9504","Chase, The",1994,89,NA,5.3,3224,"","Action"
"9537","Chat min yan",1975,92,NA,6.4,5,"","Action"
"9581","Checkered Flag",1990,91,NA,4.8,33,"","Action"
"9583","Checkered Flag, The",1962,110,NA,2.3,5,"","Action"
"9594","Cheerleader Ninjas",2002,96,NA,3.1,151,"R","Action"
"9606","Chek",2000,110,NA,5,5,"","Action"
"9607","Chek law dak gung",2002,90,NA,5.4,651,"R","Action"
"9628","Cheng shi lie ren",1993,105,NA,6.2,919,"PG-13","Action"
"9629","Cheng shi te jing",1988,90,NA,6.7,84,"","Action"
"9631","Cheong feng",1999,81,NA,7.2,579,"","Action"
"9632","Cheong wong",2000,89,NA,6.9,114,"","Action"
"9634","Cheongpung myeongwol",2003,100,NA,5.9,157,"","Action"
"9635","Cheonnyeon ho",2003,92,NA,5.8,179,"","Action"
"9636","Cheonsamong",2001,84,NA,3.4,67,"","Action"
"9651","Cherry 2000",1987,95,NA,4.7,1157,"","Action"
"9682","Chi trova un amico, trova un tesoro",1981,110,NA,6.1,394,"","Action"
"9690","Chica de las bragas transparentes, La",1981,99,NA,4,8,"","Action"
